10,7,-0- ,-0- ,"Panama",-0- 
9561,11958,"Carrera 22 No. 86A-60, Apt. 202","Bogota","Colombia",-0- 
9562,11955,"c/o AGROPECUARIA PALMA DEL RIO S.A.","Ibague","Colombia",-0- 
9562,11956,"Carrera 17 No. 91-42, Apt. 502","Bogota","Colombia",-0- 
9563,11952,"c/o AGROPECUARIA PALMA DEL RIO S.A.","Ibague","Colombia",-0- 
9563,11953,"c/o RR TOUR, S.A. DE C.V.","Guadalajara","Mexico",-0- 
9563,11954,"Calle 6 No. 3-73","Ibague, Tolima","Colombia",-0- 
9564,11950,"Carrera 16 No. 3-15","Buga, Valle","Colombia",-0- 
9564,11951,"Calle 115 No. 9-50","Bogota","Colombia",-0- 
9565,11947,"c/o ASESORIAS PROFESIONALES LTDA.","Armenia","Colombia",-0- 
9565,11948,"Calle 13 No. 101-50","Armenia, Quindio","Colombia",-0- 
9565,11949,"Calle 19 No. 12-49, Apt. 504","Armenia, Quindio","Colombia",-0- 
9566,11944,"Carrera 24C No. 33B-108","Santa Monica, Casanare","Colombia",-0- 
9566,11945,"Calle 1 No. 56-109, Seminario B, Caro 31","Cali","Colombia",-0- 
9566,11946,"Avenida 8N No. 9N-57","Cali","Colombia",-0- 
9567,11942,"Calle 16 No. 71A-07/09","Cali","Colombia",-0- 
9567,11943,"Carrera 1G No. 71-07","Cali","Colombia",-0- 
9568,11938,"Calle 22 No. 15-53","Armenia, Quindio","Colombia",-0- 
9568,11939,"Calle 30 No. 23B-22","Cali","Colombia",-0- 
9568,11940,"Carrera 85 No. 14A-57","Cali","Colombia",-0- 
9568,11941,"Calle 11 No. 4-442, Ofc. 722","Cali","Colombia",-0- 
9569,11937,"Km. 1 Via Jardines","Armenia, Quindio","Colombia",-0- 
9570,11936,"Lopez Cotilla 1994, C.P. 44140","Guadalajara","Mexico",-0- 
9571,11934,"Carrera 5 No. 29-32, C.C. La Quinta","Ibague, Tolima","Colombia",-0- 
9571,11935,"Carrera 17 No. 91-42, Apt. 502","Bogota","Colombia",-0- 
9572,11933,"Calle 21 No. 15-26, Ofc. 304","Armenia, Quindio","Colombia",-0- 
9578,12028,"c/o ALMACAES S.A.","Bogota","Colombia",-0- 
9578,12029,"c/o COMERCIALIZADORA PELISSIER OSPINA LTDA.","Bogota","Colombia",-0- 
9578,12030,"c/o CORPORACION DE ALMACENES POR DEPARTAMENTOS S.A.","Bogota","Colombia",-0- 
9578,12031,"c/o G.L.G. S.A.","Bogota","Colombia",-0- 
9578,12032,"c/o HEBRON S.A.","Tulua, Valle","Colombia",-0- 
9578,12033,"c/o ILOVIN S.A.","Bogota","Colombia",-0- 
9578,12034,"c/o RAMAL S.A.","Bogota","Colombia",-0- 
9578,12035,"Carrera 58B No. 63B-96 B-21 E-8 Int. 15 apt. 201","Bogota","Colombia",-0- 
9578,12036,"Carrera 68D No. 64F-96 B-21 Int. 15","Bogota","Colombia",-0- 
9579,12017,"c/o ALMACAES S.A.","Bogota","Colombia",-0- 
9579,12018,"c/o ARMANDO JAAR Y CIA. S.C.S.","Barranquilla","Colombia",-0- 
9579,12019,"c/o BLACKMORE INVESTMENTS A.V.V.","Oranjestad","Aruba",-0- 
9579,12020,"c/o CORPORACION DE ALMACENES POR DEPARTAMENTOS S.A.","Bogota","Colombia",-0- 
9579,12021,"c/o G.L.G. S.A.","Bogota","Colombia",-0- 
9579,12022,"c/o ILOVIN S.A.","Bogota","Colombia",-0- 
9579,12023,"c/o JACARIA FLORIDA, INC.","Miami, FL","United States",-0- 
9579,12024,"c/o RAMAL S.A.","Bogota","Colombia",-0- 
9579,12025,"Calle 72 No. 65-56","Barranquilla","Colombia",-0- 
9579,12026,"Calle 81 No. 57-56","Barranquilla","Colombia",-0- 
9579,12027,"Calle 118 No. 19-38","Bogota","Colombia",-0- 
9580,12015,"1149 SW 27th Avenue Suite 203","Miami, FL  33135","United States",-0- 
9580,12016,"9400 South Dadeland Boulevard Suite 601","Miami, FL  33156","United States",-0- 
9581,12014,"Carrera 58B No. 63B-96 bq. 21 int. 15 apto. 201","Bogota","Colombia",-0- 
9582,12013,"Carrera 74 No. 76-150","Barranquilla","Colombia",-0- 
9583,12037,-0- ,-0- ,-0- ,-0- 
9584,12038,-0- ,-0- ,-0- ,-0- 
9585,12039,-0- ,-0- ,-0- ,-0- 
9586,12041,"Schmidener Street 98","Stuttgart  70374","Germany",-0- 
9586,12042,"Stuttgart Prison","Stuttgart","Germany",-0- 
9587,12044,"Branderstrasse 28","Augsburg  86154","Germany",-0- 
9587,12045,"Schwabisch Hall Prison",-0- ,"Germany",-0- 
9588,12047,"Lochhamer Str. 115","Munich  81477","Germany",-0- 
9588,12048,"Kempten Prison",-0- ,"Germany",-0- 
9589,12050,"Kathe Dorsch Ring 21","Berlin  12353","Germany",-0- 
9589,12051,"Mannheim Prison",-0- ,"Germany",-0- 
9590,12053,"Meckennheimer Str. 74a","Bonn  53179","Germany",-0- 
9590,12054,"Wuppertal Prison",-0- ,"Germany",-0- 
9591,12056,"Adolf-Braun Street 6","Nuremberg  90429","Germany",-0- 
9591,12057,"Fuerther Street 335","Nuremberg","Germany",-0- 
9591,12058,"Nuremberg Prison",-0- ,"Germany",-0- 
9592,12060,"Oberanger 47","Munich  80331","Germany",-0- 
9592,12061,"Stadelheim Prison","Munich","Germany",-0- 
9593,12063,"Pankratiusstrause 44","Mainz  55118","Germany",-0- 
9593,12064,"Frankenthal Prison",-0- ,"Germany",-0- 
9594,12065,-0- ,-0- ,-0- ,-0- 
9595,12067,-0- ,"Birmingham","United Kingdom",-0- 
9596,12069,-0- ,"Birmingham","United Kingdom",-0- 
9597,12071,-0- ,"Birmingham","United Kingdom",-0- 
9598,12073,-0- ,"Manchester","United Kingdom",-0- 
9599,12075,-0- ,"Midlands","United Kingdom",-0- 
9600,12077,"104 Smithdown Road","Liverpool, Merseyside  L7 4JQ","United Kingdom",-0- 
9600,12078,"2a Hartington Road","Liverpool  L8 0SG","United Kingdom",-0- 
9601,12080,"44 Upper Belgrave Road","Clifton, Bristol  BS8 2XN","United Kingdom",-0- 
9602,12082,"88 Smithdown Road","Liverpool  L7 4JQ","United Kingdom",-0- 
9603,12084,"63 South Road","Sparkbrook, Birmingham  B11 1EX","United Kingdom",-0- 
9603,12085,"1011 Stockport Road","Levenshulme, Manchester  M9 2TB","United Kingdom",-0- 
9603,12086,"P.O. Box 50","Manchester  M19 2SP","United Kingdom",-0- 
9603,12087,"98 Gresham Road","Middlesbrough","United Kingdom",-0- 
9603,12088,"54 Anson Road","London  NW2 6AD","United Kingdom",-0- 
9604,12089,-0- ,-0- ,-0- ,-0- 
9605,12090,-0- ,-0- ,-0- ,-0- 
9606,12092,"23 BP 3383","Abidjan  23","Cote d'Ivoire",-0- 
9607,12094,"P.O. Box 23310","Toledo, OH  43623","United States",-0- 
9607,12095,"3450 West Central Avenue, #366","Toledo, OH  43606","United States",-0- 
9607,12096,"P.O. Box 1248","Gaza","Palestinian",-0- 
9607,12097,-0- ,"Ramallah, West Bank","Palestinian",-0- 
9607,12098,-0- ,"Jenin, West Bank","Palestinian",-0- 
9607,12099,"Mar Elyas Street, Hiba Center, 1st Floor","Beirut","Lebanon",-0- 
9607,12100,-0- ,-0- ,"Pakistan",-0- 
9608,12101,-0- ,-0- ,-0- ,-0- 
9609,12103,"Al Manar TV, Abed al Nour Street, Haret Hriek","Beirut","Lebanon",-0- 
9609,12104,"PO Box 354/25","Beirut","Lebanon",-0- 
9610,12106,"Al Manar Building, Ahmad Kassir Street, Haret Hriek, Baabda",-0- ,"Lebanon",-0- 
9610,12107,"Abed Al Nour Street, Haret Hriek, PO Box 354/25","Beirut","Lebanon",-0- 
9611,12109,"Abed Al Nour Street, PO Box 197/25, Alghobeiri, Haret Hriek","Beirut","Lebanon",-0- 
9613,12113,-0- ,"Darfur","Sudan",-0- 
9614,12114,-0- ,-0- ,-0- ,-0- 
9615,12115,-0- ,-0- ,-0- ,-0- 
9616,12116,-0- ,-0- ,-0- ,-0- 
9617,12117,-0- ,-0- ,-0- ,-0- 
9618,12119,"Route des Arsenaux 15","Fribourg, FR  1700","Switzerland",-0- 
9619,12121,"c/o KOHAS AG","Fribourg, FR","Switzerland",-0- 
9620,12122,-0- ,-0- ,-0- ,-0- 
9621,12123,-0- ,-0- ,-0- ,-0- 
9749,12185,"2501-2508 Yuexiu Mansion, No. 82 Xinkai Road","Dalian, Liaoning  116011","China",-0- 
9750,12187,"12A Beisanhuan Zhong Road, P.O. Box 3042","Beijing","China",-0- 
9751,12189,"No. 30 Haidian Nanlu","Beijing","China",-0- 
9751,12334,-0- ,"Moscow","Russia",-0- 
9752,12191,"21515 Hawthorne Blvd., Suite 670","Torrance, CA  90503","United States",-0- 
9753,12193,"No. 30 Haidian Nanlu","Beijing","China",-0- 
9754,12195,-0- ,-0- ,"Iran",-0- 
9754,12196,-0- ,"Karachi","Pakistan",-0- 
9754,12197,-0- ,-0- ,"United Arab Emirates",-0- 
9756,12203,-0- ,-0- ,"Mexico",-0- 
9757,12205,-0- ,"Ponta Pora, Mato Grosso do Sul","Brazil",-0- 
9757,12206,-0- ,"Pedro Juan Caballero, Amambay","Paraguay",-0- 
9758,12207,"617 CP Berar Society, Block 7-8","Karachi","Pakistan",-0- 
9758,12208,"House No. 37, Street 30, Phase V, Defence Housing Authority","Karachi","Pakistan",-0- 
9758,12209,"White House, Al-Wassal Road, Jumeira","Dubai","United Arab Emirates",-0- 
9758,12210,"33-36, Pakmodiya Street, Haji Musafirkhana, Dongri","Bombay","India",-0- 
9758,12211,"House No. 10, Hill Top Arcade, Defence Housing Authority","Karachi","Pakistan",-0- 
9758,12212,"Moin Palace, 2nd Floor, Opp. Abdullah Shah Gazi Dargah, Clifton","Karachi","Pakistan",-0- 
9759,12213,-0- ,-0- ,"India",-0- 
9759,12214,-0- ,-0- ,"Pakistan",-0- 
9759,12215,-0- ,-0- ,"United Arab Emirates",-0- 
9760,12216,-0- ,-0- ,-0- ,-0- 
9761,12217,-0- ,-0- ,-0- ,-0- 
9762,12218,-0- ,-0- ,-0- ,-0- 
9763,12220,"Pasdaran Road 15","Tehran","Iran",-0- 
9764,12223,"PO Box 19395-4731","Tehran","Iran",-0- 
9766,12224,-0- ,-0- ,-0- ,-0- 
9768,12226,-0- ,-0- ,-0- ,-0- 
9769,12227,-0- ,-0- ,-0- ,-0- 
9770,12228,-0- ,-0- ,-0- ,-0- 
9771,12229,-0- ,-0- ,-0- ,-0- 
9797,12335,-0- ,-0- ,-0- ,-0- 
9873,12751,"c/o ARMANDO JAAR Y CIA. S.C.S.","Barranquilla","Colombia",-0- 
9873,12752,"c/o CIPE INVESTMENTS CORPORATION","Panama City","Panama",-0- 
9873,12753,"325 Poinciana Island Drive","Sunny Island Beach, FL  33160","United States",-0- 
9874,12724,"c/o ALMACAES S.A.","Bogota","Colombia",-0- 
9874,12725,"c/o ALM INVESTMENT FLORIDA, INC.","Miami, FL","United States",-0- 
9874,12726,"c/o BLACKMORE INVESTMENTS A.V.V.","Oranjestad","Aruba",-0- 
9874,12727,"c/o CARLOS SAIEH Y CIA. S.C.S.","Barranquilla, Atlantico","Colombia",-0- 
9874,12728,"c/o CONFECCIONES LORD S.A.","Barranquilla, Atlantico","Colombia",-0- 
9874,12729,"c/o CONSTRUCTORA ALTAVISTA INTERNACIONAL S.A.","Barranquilla","Colombia",-0- 
9874,12730,"c/o CORPORACION DE ALMACENES POR DEPARTAMENTOS S.A.","Bogota","Colombia",-0- 
9874,12731,"c/o ELIZABETH OVERSEAS INC.","Panama City","Panama",-0- 
9874,12732,"c/o FINANZAS DEL NORTE LUIS SAIEH Y CIA. S.C.A.","Barranquilla","Colombia",-0- 
9874,12733,"c/o G.L.G. S.A.","Bogota","Colombia",-0- 
9874,12734,"c/o GRANADA ASSOCIATES, INC.","Miami, FL","United States",-0- 
9874,12735,"c/o ILOVIN S.A.","Bogota","Colombia",-0- 
9874,12736,"c/o INVERSIONES DEL PRADO ABDALA SAIEH Y CIA. S.C.A.","Barranquilla","Colombia",-0- 
9874,12737,"c/o KAREN OVERSEAS, INC.","Panama City","Panama",-0- 
9874,12738,"c/o KAREN OVERSEAS FLORIDA, INC.","Miami, FL","United States",-0- 
9874,12739,"c/o KATTUS II CORPORATION","Panama City","Panama",-0- 
9874,12740,"c/o MARC LLC","Miami, FL","United States",-0- 
9874,12741,"c/o MOISES SAIEH Y CIA. S.C.A.","Barranquilla","Colombia",-0- 
9874,12742,"c/o RAMAL S.A.","Bogota","Colombia",-0- 
9874,12743,"c/o RIXFORD INVESTMENT CORPORATION","Panama City","Panama",-0- 
9874,12744,"c/o URBANIZADORA ALTAVISTA INTERNACIONAL S.A.","Barranquilla","Colombia",-0- 
9874,12745,"c/o VILLAROSA INVESTMENTS FLORIDA, INC.","Miami, FL","United States",-0- 
9874,12746,"780 NW Le Jeune Rd, Suite 516","Miami, FL  33126","United States",-0- 
9874,12747,"780 NW 42nd Avenue, Suite 516","Miami, FL  33126","United States",-0- 
9874,12748,"Carrera 56 No. 79-102 Piso-10","Barranquilla","Colombia",-0- 
9874,12749,"Nine Island Avenue, Unit 1411","Miami Beach, FL","United States",-0- 
9874,12750,"9100 South Dadeland Boulevard, Suite 912","Miami, FL  33156","United States",-0- 
9874,13428,"c/o BRUNELLO LTD.","Grand Cayman","Cayman Islands",-0- 
9874,13429,"c/o MLA INVESTMENTS, INC.",-0- ,"Virgin Islands, British",-0- 
9874,13573,"c/o C.W. SALMAN PARTNERS","Miami, FL","United States",-0- 
9874,13574,"c/o SALMAN CORAL WAY PARTNERS","Miami, FL","United States",-0- 
9875,12720,"c/o ALMACAES S.A.","Bogota","Colombia",-0- 
9875,12721,"c/o CORPORACION DE ALMACENES POR DEPARTAMENTOS S.A.","Bogota","Colombia",-0- 
9875,12722,"c/o G.L.G. S.A.","Bogota","Colombia",-0- 
9875,12723,"c/o RAMAL S.A.","Bogota","Colombia",-0- 
9876,12692,"c/o ALMACAES S.A.","Bogota","Colombia",-0- 
9876,12693,"c/o ALM INVESTMENT FLORIDA, INC.","Miami, FL","United States",-0- 
9876,12694,"c/o CARLOS SAIEH Y CIA. S.C.S.","Barranquilla, Atlantico","Colombia",-0- 
9876,12695,"c/o CONFECCIONES LORD S.A.","Barranquilla, Atlantico","Colombia",-0- 
9876,12696,"c/o CONSTRUCTORA ALTAVISTA INTERNACIONAL S.A.","Barranquilla","Colombia",-0- 
9876,12697,"c/o CORPORACION DE ALMACENES POR DEPARTAMENTOS S.A.","Bogota","Colombia",-0- 
9876,12698,"c/o ELIZABETH OVERSEAS INC.","Panama City","Panama",-0- 
9876,12699,"c/o G.L.G. S.A.","Bogota","Colombia",-0- 
9876,12700,"c/o GRANADA ASSOCIATES, INC.","Miami, FL","United States",-0- 
9876,12701,"c/o ILOVIN S.A.","Bogota","Colombia",-0- 
9876,12702,"c/o INVERSIONES DEL PRADO ABDALA SAIEH Y CIA. S.C.A.","Barranquilla","Colombia",-0- 
9876,12703,"c/o KAREN OVERSEAS, INC.","Panama City","Panama",-0- 
9876,12704,"c/o KAREN OVERSEAS FLORIDA, INC.","Miami, FL","United States",-0- 
9876,12705,"c/o KATTUS II CORPORATION","Panama City","Panama",-0- 
9876,12706,"c/o MOISES SAIEH Y CIA. S.C.A.","Barranquilla","Colombia",-0- 
9876,12707,"c/o RAMAL S.A.","Bogota","Colombia",-0- 
9876,12708,"c/o RIXFORD INVESTMENT CORPORATION","Panama City","Panama",-0- 
9876,12709,"c/o SUNSET & 97TH HOLDINGS, LLC.","Miami, FL","United States",-0- 
9876,12710,"c/o URBANIZADORA ALTAVISTA INTERNACIONAL S.A.","Barranquilla","Colombia",-0- 
9876,12711,"c/o VILLAROSA INVESTMENTS FLORIDA, INC.","Miami, FL","United States",-0- 
9876,12712,"Carrera 56 No. 79-40, Apt 7","Barranquilla","Colombia",-0- 
9876,12713,"19667 NE 36 Court A 12-G","North Miami Beach, FL  33180","United States",-0- 
9876,12714,"780 NW Le Jeune Rd, Suite 516","Miami, FL  33126","United States",-0- 
9876,12715,"780 NW 42nd Avenue, Suite 516","Miami, FL  33126","United States",-0- 
9876,12716,"1405 SW 107th Ave, Ste 301B","Miami, FL","United States",-0- 
9876,12717,"19667 Turnberry Way, Unit 12G","Miami, FL  33180","United States",-0- 
9876,12718,"20301 W Country Club Drive, Apt 824","Aventura, FL  33180","United States",-0- 
9876,12719,"9100 South Dadeland Boulevard, Suite 912","Miami, FL  33156","United States",-0- 
9876,13430,"c/o JAMCE INVESTMENTS LTD.","Grand Cayman","Cayman Islands",-0- 
9876,13431,"c/o KATTUS CORPORATION",-0- ,"Barbados",-0- 
9876,13432,"c/o MLA INVESTMENTS, INC.",-0- ,"Virgin Islands, British",-0- 
9876,13433,"c/o VILLAROSA INVESTMENTS CORPORATION","Panama City","Panama",-0- 
9876,13571,"c/o C.W. SALMAN PARTNERS","Miami, FL","United States",-0- 
9876,13572,"c/o SALMAN CORAL WAY PARTNERS","Miami, FL","United States",-0- 
9877,12684,"c/o ALMACAES S.A.","Bogota","Colombia",-0- 
9877,12685,"c/o CONFECCIONES LORD S.A.","Barranquilla, Atlantico","Colombia",-0- 
9877,12686,"c/o CORPORACION DE ALMACENES POR DEPARTAMENTOS S.A.","Bogota","Colombia",-0- 
9877,12687,"c/o GIMBER INVESTING CORPORATION",-0- ,"Virgin Islands, British",-0- 
9877,12688,"c/o G.L.G. S.A.","Bogota","Colombia",-0- 
9877,12689,"c/o ILOVIN S.A.","Bogota","Colombia",-0- 
9877,12690,"c/o JACARIA FLORIDA, INC.","Miami, FL","United States",-0- 
9877,12691,"c/o RAMAL S.A.","Bogota","Colombia",-0- 
9878,12681,"780 NW Le Jeune Road, Suite 516","Miami, FL  33126","United States",-0- 
9878,12682,"780 NW 42nd Avenue, Suite 516","Miami, FL  33126","United States",-0- 
9878,12683,"9100 South Dadeland Boulevard, Suite 912","Miami, FL  33156","United States",-0- 
9879,12680,"Calle 77 B No. 57 - 141, Ofc. 917","Barranquilla","Colombia",-0- 
9880,12675,"19667 Turnberry Way, Unit 12 G","Miami, FL  33180","United States",-0- 
9880,12676,"9100 South Dadeland Boulevard, Suite 912","Miami, FL  33156","United States",-0- 
9880,12677,"780 NW Le Jeune Road, Suite 516","Miami, FL  33126","United States",-0- 
9880,12678,"780 NW 42nd Avenue, Suite 516","Miami, FL  33126","United States",-0- 
9880,12679,"P.O. Box 51314, Calle 72 No. 6556","Barranquilla","Colombia",-0- 
9881,12674,-0- ,"Panama City","Panama",-0- 
9882,12673,"Carrera 74 No. 76 - 150","Barranquilla, Atlantico","Colombia",-0- 
9883,12672,"Carrera 74 No. 76 - 150","Barranquilla, Atlantico","Colombia",-0- 
9884,12669,"780 Le Jeune Road, Suite 516","Miami, FL  33126","United States",-0- 
9884,12670,"780 NW 42nd Avenue, Suite 516","Miami, FL  33126","United States",-0- 
9884,12671,"9100 South Dadeland Boulevard, Suite 912","Miami, FL  33156","United States",-0- 
9885,12668,-0- ,"Panama City","Panama",-0- 
9886,12665,"780 NW Le Jeune Road, Suite 516","Miami, FL  33126","United States",-0- 
9886,12666,"780 NW 42nd Avenue, Suite 516","Miami, FL  33126","United States",-0- 
9886,12667,"9100 South Dadeland Boulevard, Suite 912","Miami, FL  33156","United States",-0- 
9887,12664,-0- ,"Panama City","Panama",-0- 
9888,12663,"Calle 77 B No. 57 - 141, Ofc. 901","Barranquilla","Colombia",-0- 
9889,12660,"780 NW Le Jeune Road, Suite 516","Miami, FL  33126","United States",-0- 
9889,12661,"780 NW 42nd Avenue, Suite 516","Miami, FL  33126","United States",-0- 
9889,12662,"9100 South Dadeland Boulevard, Suite 912","Miami, FL  33156","United States",-0- 
9890,12659,"Calle 77 B No. 57 - 141, Ofc. 917","Barranquilla","Colombia",-0- 
9891,12658,-0- ,"Panama City","Panama",-0- 
9892,12657,"Calle 77 B No. 57 - 141, Ofc. 917","Barranquilla","Colombia",-0- 
9893,12656,"Carrera 74 No. 76 -150","Barranquilla, Atlantico","Colombia",-0- 
9894,12655,-0- ,"Panama City","Panama",-0- 
9895,12654,"Carrera 74 No. 76 - 150","Barranquilla, Atlantico","Colombia",-0- 
9896,12651,"780 NW 42nd Avenue, Suite 516","Miami, FL  33126","United States",-0- 
9896,12652,"780 NW Le Jeune Rd, Suite 516","Miami, FL  33126","United States",-0- 
9896,12653,"9100 South Dadeland Boulevard, Suite 912","Miami, FL  33156","United States",-0- 
9897,12650,-0- ,-0- ,"Virgin Islands, British",-0- 
9898,12866,-0- ,-0- ,-0- ,-0- 
9899,12760,"Avenida Madero No. 1010","Tijuana,, Baja California","Mexico",-0- 
9899,12761,"Carillo Puerto, Calle 2025, 21B, Zona Central","Tijuana, Baja California","Mexico",-0- 
9899,12762,"c/o MULTICAJA DE TIJUANA, S.A. DE C.V.,","Tijuana,, Baja California","Mexico",-0- 
9899,12763,"c/o CAJA AMIGO EXPRESS, S.A. DE C.V.","Tijuana, Baja California","Mexico",-0- 
9899,12764,"c/o MODULO DE CAMBIOS","Tijuana, Baja California","Mexico",-0- 
9899,12765,"c/o OPERADORA DE CAJA Y SERVICIOS, S.A. DE C.V.","Tijuana, Baja California","Mexico",-0- 
9899,12766,"c/o PATRICIA CASA DE CAMBIO","Tijuana, Baja California","Mexico",-0- 
9899,12767,"c/o PROMOTORA FIN, S.A.","Tijuana, Baja California","Mexico",-0- 
9899,12768,"c/o QUINTA REAL JARDIN SOCIAL Y DE EVENTOS, S.A. DE C.V.","Tijuana, Baja California","Mexico",-0- 
9899,12927,"750 Brookstone Road #201","Chula Vista, CA  91913","United States",-0- 
9899,12928,"c/o CAJA AMIGO EXPRESS S.A. DE C.V.","Chula Vista, CA  91910","United States",-0- 
9899,12929,"c/o A.L.S. FINANCIAL, INC.","Coronado, CA  92178","United States",-0- 
9900,12769,"Calle Del Ebano 10850","Tijuana, Baja California  C.P. 22420","Mexico",-0- 
9900,12770,"c/o OPERADORA DE CAJA Y SERVICIOS, S.A. DE C.V.","Tijuana, Baja California","Mexico",-0- 
9900,12771,"c/o PATRICIA CASA DE CAMBIO","Tijuana, Baja California","Mexico",-0- 
9901,12773,"Carillo Puerto, Calle 8317 2, Zona Central","Tijuana, Baja California","Mexico",-0- 
9901,12774,"c/o STRONG LINK DE MEXICO, S.A. DE C.V.","Tijuana, Baja California","Mexico",-0- 
9901,12950,"c/o MULTICAJA DE TIJUANA, S.A. DE C.V.,","Tijuana, Baja California","Mexico",-0- 
9902,12775,"Calle 4, Entre Constitucion y Revolucion, Zona Centro ","Tijuana, Baja California","Mexico",-0- 
9902,12776,"Calle 4, Entre Conot & Revo ","Tijuana, Baja California","Mexico",-0- 
9902,12777,"Boulevard Agua Caliente ","Tijuana, Baja California","Mexico",-0- 
9902,12778,"Diaz Ordaz, 9B Del Prado, Entre Bugambilias y Azucenas","Tijuana, Baja California","Mexico",-0- 
9902,12935,"660 Bay Boulevard, Suite 205","Chula Vista, CA  91910","United States",-0- 
9903,12779,"Carrillo Puerto, Calle 2025 21-A, Zona Central","Tijuana, Baja California","Mexico",-0- 
9903,12780,"Huixquilucan","Distrito Federal","Mexico",-0- 
9904,12781,-0- ,"Tijuana, Baja California","Mexico",-0- 
9905,12782,"Madero 941 21 A, Entre Carrillo Puerto y Diaz Miron, Zona Central","Tijuana, Baja California","Mexico",-0- 
9906,12783,"Rufino Tamayo 9970, Rio Tijuana","Tijuana, Baja California","Mexico",-0- 
9907,12784,"Carrillo Puerto, Calle 8317 4, Zona Central","Tijuana, Baja California","Mexico",-0- 
9908,12785,"Calle 2 y Moderno, Zona Centro","Tijuana, Baja California","Mexico",-0- 
9908,12786,"Benito Juarez 8290, C.P. 22000","Tijuana, Baja California","Mexico",-0- 
9909,12787,"Avenida Lazaro Cardenas 1702 18 , Otay Constituyentes","Tijuana, Baja California","Mexico",-0- 
9909,12788,"Carrillo Puerto, Calle 291, Zona Central","Tijuana, Baja California","Mexico",-0- 
9909,12789,"Blvd. Insurgentes 2120, Porvenir","Tijuana, Baja California","Mexico",-0- 
9909,12790,"Insurg-Campos S/N BCO., Insurgentes","Tijuana, Baja California","Mexico",-0- 
9909,12791,"3A. y Madero, 291, Zona Centro","Tijuana, Baja California","Mexico",-0- 
9909,12794,"Calle 3 y Madero, Zona Centro","Tijuana, Baja California","Mexico",-0- 
9909,12795,"Centro Comercial Otay","Tijuana, Baja California","Mexico",-0- 
9910,12798,"Diaz Ordaz Blvd., 9B del Prado","Tijuana, Baja California","Mexico",-0- 
9910,12799,"Blvd. Agua Caliente 9231, Cacho","Tijuana, Baja California","Mexico",-0- 
9911,12801,"Calle Puerto 291, Zona Centro","Tijuana, Baja California","Mexico",-0- 
9912,12804,"Agua Caliente Blvd. 122 A, Cacho","Tijuana, Baja California","Mexico",-0- 
9912,12805,"Calle 3ra, Carrillo Puerto 216, 4to Piso, Zona Centro","Tijuana, Baja California","Mexico",-0- 
9912,12806,"3ra. Carrillo Puerto 216 1, Zona Central, Avenida Madero y Avenida Negrete","Tijuana, Baja California","Mexico",-0- 
9913,12868,"Avenida Via Rapida Oriente 10950, Zona Rio Tijuana","Tijuana, Baja California","Mexico",-0- 
9914,12870,"Avenida C. Flores Magon 8013, Aquiles Serdan y Reforma, Tijuana Centro","Tijuana, Baja California","Mexico",-0- 
9914,12871,"Flores Magon 8013, Esquina Ninos Heroes, Zona Central","Tijuana, Baja California","Mexico",-0- 
9915,12873,"Lago Chapultepec, 90 Lago, Laguna de los Terminos y Lago Chalco","Tijuana, Baja California","Mexico",-0- 
9916,12875,"c/o GRUPO INMOBILIARIO PROFESIONAL BAJA, S.A DE C.V., Tijuana, Baja California",-0- ,"Mexico",-0- 
9916,12876,"c/o PROMOTORA FIN, S.A., Tijuana, Baja California",-0- ,"Mexico",-0- 
9917,12878,"c/o QUINTA REAL JARDIN SOCIAL Y DE EVENTOS S.A. DE C.V., Tijuana, Baja California",-0- ,"Mexico",-0- 
9918,12882,"Porfirio Diaz 8190 Juarez","Tijuana, Baja California  C.P. 22150","Mexico",-0- 
9918,12893,"c/o GRUPO ARIAS-ARCE AGENCIA DE LOCALIZACION DE VEHICULOS S. DE R.L.","Tijuana, Baja California","Mexico",-0- 
9918,12894,"c/o CAJA AMIGO EXPRESS, S.A. DE C.V.","Tijuana, Baja California","Mexico",-0- 
9918,12895,"c/o DISTRIBUIDOR AUTORIZADO TEQUILA 4 REYES, S. DE R.L.","Tijuana, Baja California","Mexico",-0- 
9919,12897,"c/o GRUPO ARIAS-ARCE AGENCIA DE LOCALIZACION DE VEHICULOS, S. DE R.L. ","Tijuana, Baja California","Mexico",-0- 
9919,12898,"c/o STRONG LINK DE MEXICO, S.A. DE C.V.","Tijuana, Baja California","Mexico",-0- 
9919,12899,"c/o GRUPO INMOBILIARIO PROFESIONAL BAJA, S.A. DE C.V.","Tijuana, Baja California","Mexico",-0- 
9919,12930,"c/o CAJA AMIGO EXPRESS S.A. DE C.V.","Chula Vista, CA  91910","United States",-0- 
9919,12931,"750 Brookstone Road #201","Chula Vista, CA  91913","United States",-0- 
9919,12932,"2830 Paradise Ridge Court","Chula Vista, CA  91915","United States",-0- 
9919,12933,"c/o GLOBAL FUNDING SERVICES, CORP.","Chula Vista, CA  91910","United States",-0- 
9919,12949,"660 Bay Boulevard, Suite 205","Chula Vista, CA  91910","United States",-0- 
9920,12901,"c/o MULTICAJA DE TIJUANA, S.A. DE C.V.","Tijuana, Baja California","Mexico",-0- 
9920,12902,"c/o OPERADORA DE CAJA Y SERVICIOS, S.A. DE C.V.","Tijuana, Baja California","Mexico",-0- 
9921,12904,"Benito Juarez, Calle 8290, Zona Central","Tijuana, Baja California  22000","Mexico",-0- 
